feature,coefficient,importance_absolue
cat__Contract_Two year,-0.8122706118584369,0.8122706118584369
cat__Contract_Month-to-month,0.5992478950464438,0.5992478950464438
num__tenure,-0.4005482492283959,0.4005482492283959
cat__InternetService_Fiber optic,0.2805050193547358,0.2805050193547358
cat__InternetService_No,-0.25296365316862757,0.25296365316862757
cat__TechSupport_No,0.2043417791890429,0.2043417791890429
cat__Contract_One year,0.18489100622155646,0.18489100622155646
cat__TechSupport_Yes,-0.14152250341254854,0.14152250341254854
cat__OnlineBackup_Yes,-0.12820626868877477,0.12820626868877477
cat__gender_Male,-0.11578224623477446,0.11578224623477446
cat__OnlineBackup_No,0.11557649830587324,0.11557649830587324
num__TotalCharges,-0.11382811945255482,0.11382811945255482
cat__PhoneService_No,-0.10420790500204152,0.10420790500204152
num__MonthlyCharges,-0.09675928919872498,0.09675928919872498
cat__Partner_Yes,-0.09468122837445879,0.09468122837445879
cat__TechSupport_No internet service,-0.09095098636693155,0.09095098636693155
cat__gender_Female,0.08765053564433763,0.08765053564433763
cat__PhoneService_Yes,0.07607619441160475,0.07607619441160475
cat__StreamingMovies_Yes,0.06914558261690501,0.06914558261690501
cat__Partner_No,0.06654951778402156,0.06654951778402156
cat__OnlineSecurity_Yes,-0.06457998412520738,0.06457998412520738
cat__OnlineSecurity_No internet service,0.06170790549454819,0.06170790549454819
cat__InternetService_DSL,-0.055673076776545614,0.055673076776545614
cat__StreamingMovies_No internet service,-0.05471837560824961,0.05471837560824961
cat__Dependents_No,-0.05043658405405198,0.05043658405405198
cat__StreamingMovies_No,-0.042558917599092666,0.042558917599092666
cat__DeviceProtection_No,-0.03959610934233981,0.03959610934233981
cat__MultipleLines_Yes,-0.0374886861474498,0.0374886861474498
cat__MultipleLines_No phone service,0.03712883071016729,0.03712883071016729
num__InternetCharges,-0.03413661071446729,0.03413661071446729
cat__StreamingTV_No,-0.028573128214782372,0.028573128214782372
cat__MultipleLines_No,-0.02777185515315477,0.02777185515315477
cat__OnlineSecurity_No,-0.02525963195977784,0.02525963195977784
num__SeniorCitizen,0.024876176797433595,0.024876176797433595
cat__DeviceProtection_Yes,0.023338328148053374,0.023338328148053374
cat__Dependents_Yes,0.022304873463614382,0.022304873463614382
cat__OnlineBackup_No internet service,-0.015501940207535302,0.015501940207535302
cat__StreamingTV_Yes,0.014033087944162267,0.014033087944162267
cat__StreamingTV_No internet service,-0.01359167031981693,0.01359167031981693
cat__DeviceProtection_No internet service,-0.011873929396150652,0.011873929396150652
